YYYYMMDD,HH,NO2
20160101,1,36.53
20160101,2,22.74
20160101,3,24.28
20160101,4,22.56
20160101,5,23.67
20160101,6,19.0
20160101,7,20.53
20160101,8,26.08
20160101,9,39.78
20160101,10,40.86
20160101,11,36.51
20160101,12,29.17
20160101,13,26.18
20160101,14,32.78
20160101,15,34.46
20160101,16,31.55
20160101,17,29.19
20160101,18,31.4
20160101,19,25.87
20160101,20,27.27
20160101,21,32.46
20160101,22,34.75
20160101,23,31.89
20160102,0,23.65
20160102,1,20.51
20160102,2,18.25
20160102,3,16.64
20160102,4,14.91
20160102,5,15.2
20160102,6,15.32
20160102,7,16.29
20160102,8,17.12
20160102,9,17.78
20160102,10,19.23
20160102,11,20.91
20160102,12,22.84
20160102,13,23.0
20160102,14,23.74
20160102,15,24.23
20160102,16,26.56
20160102,17,29.01
20160102,18,31.31
20160102,19,31.95
20160102,20,33.89
20160102,21,33.54
20160102,22,35.46
20160102,23,32.69
20160103,0,29.66
20160103,1,28.54
20160103,2,25.69
20160103,3,21.7
20160103,4,13.52
20160103,5,9.77
20160103,6,7.83
20160103,7,7.94
20160103,8,8.07
20160103,9,8.07
20160103,10,10.51
20160103,11,10.58
20160103,12,14.08
20160103,13,14.7
20160103,14,14.68
20160103,15,14.04
20160103,16,14.04
20160103,17,15.02
20160103,18,14.66
20160103,19,10.79
20160103,20,11.42
20160103,21,11.76
20160103,22,12.41
20160103,23,11.67
20160104,0,7.87
20160104,1,7.81
20160104,2,8.88
20160104,3,7.37
20160104,4,5.76
20160104,5,6.38
20160104,6,7.98
20160104,7,18.15
20160104,8,30.83
20160104,9,40.59
20160104,10,41.58
20160104,11,41.73
20160104,12,40.07
20160104,13,42.79
20160104,14,50.73
20160104,15,56.06
20160104,16,61.44
20160104,17,53.94
20160104,18,52.2
20160104,19,50.75
20160104,20,49.94
20160104,21,39.22
20160104,22,32.58
20160104,23,32.5
20160105,0,28.43
20160105,1,21.78
20160105,2,17.31
20160105,3,16.32
20160105,4,13.77
20160105,5,13.31
20160105,6,15.84
20160105,7,22.01
20160105,8,24.57
20160105,9,23.84
20160105,10,24.9
20160105,11,31.58
20160105,12,32.41
20160105,13,28.07
20160105,14,26.61
20160105,15,33.1
20160105,16,38.28
20160105,17,47.44
20160105,18,46.07
20160105,19,44.41
20160105,20,39.73
20160105,21,32.7
20160105,22,29.67
20160105,23,26.89
20160106,0,27.85
20160106,1,35.45
20160106,2,34.46
20160106,3,34.24
20160106,4,34.22
20160106,5,33.75
20160106,6,34.41
20160106,7,35.45
20160106,8,37.13
20160106,9,37.44
20160106,10,36.41
20160106,11,33.92
20160106,12,31.65
20160106,13,31.68
20160106,14,32.19
20160106,15,32.09
20160106,16,33.3
20160106,17,35.63
20160106,18,34.56
20160106,19,34.42
20160106,20,35.59
20160106,21,35.31
20160106,22,33.69
20160106,23,36.34
20160107,0,33.54
20160107,1,31.31
20160107,2,30.65
20160107,3,31.58
20160107,4,32.85
20160107,5,35.02
20160107,6,34.86
20160107,7,33.28
20160107,8,30.66
20160107,9,32.26
20160107,10,29.18
20160107,11,26.07
20160107,12,26.34
20160107,13,27.09
20160107,14,30.43
20160107,15,27.14
20160107,16,22.47
20160107,17,22.38
20160107,18,37.26
20160107,19,35.63
20160107,20,20.68
20160107,21,14.2
20160107,22,9.63
20160107,23,10.13
20160108,0,9.05
20160108,1,7.16
20160108,2,6.34
20160108,3,6.2
20160108,4,6.98
20160108,5,8.79
20160108,6,10.96
20160108,7,18.81
20160108,8,36.58
20160108,9,51.52
20160108,10,51.97
20160108,11,35.73
20160108,12,33.54
20160108,13,34.56
20160108,14,33.48
20160108,15,32.92
20160108,16,36.69
20160108,17,44.57
20160108,18,67.15
20160108,19,71.12
20160108,20,66.7
20160108,21,58.75
20160108,22,47.59
20160108,23,47.57
20160109,0,44.55
20160109,1,40.85
20160109,2,44.17
20160109,3,40.62
20160109,4,37.31
20160109,5,34.08
20160109,6,27.96
20160109,7,20.75
20160109,8,17.67
20160109,9,18.34
20160109,10,23.37
20160109,11,22.54
20160109,12,19.68
20160109,13,20.87
20160109,14,22.46
20160109,15,27.34
20160109,16,25.58
20160109,17,26.51
20160109,18,23.96
20160109,19,19.49
20160109,20,17.25
20160109,21,15.25
20160109,22,13.91
20160109,23,14.72
20160110,0,16.79
20160110,1,13.01
20160110,2,12.31
20160110,3,11.02
20160110,4,9.61
20160110,5,7.16
20160110,6,6.39
20160110,7,8.76
20160110,8,9.97
20160110,9,12.08
20160110,10,15.06
20160110,11,12.26
20160110,12,10.94
20160110,13,12.96
20160110,14,31.634999999999998
20160110,15,34.515
20160110,16,36.325
20160110,17,33.265
20160110,18,33.615
20160110,19,36.69
20160110,20,36.585
20160110,21,29.57
20160110,22,25.235
20160110,23,26.44
20160111,0,24.735
20160111,1,23.835
20160111,2,22.2
20160111,3,20.775
20160111,4,20.84
20160111,5,21.315
20160111,6,21.23
20160111,7,24.615000000000002
20160111,8,33.575
20160111,9,42.315
20160111,10,43.575
20160111,11,35.605000000000004
20160111,12,28.18
20160111,13,27.505000000000003
20160111,14,28.895
20160111,15,29.465
20160111,16,24.884999999999998
20160111,17,24.255
20160111,18,32.95
20160111,19,33.27
20160111,20,28.135
20160111,21,26.545
20160111,22,20.71
20160111,23,23.84
20160112,0,30.14
20160112,1,30.005000000000003
20160112,2,29.520000000000003
20160112,3,25.805
20160112,4,18.805
20160112,5,14.12
20160112,6,12.975000000000001
20160112,7,17.24
20160112,8,23.605
20160112,9,28.855
20160112,10,29.794999999999998
20160112,11,21.235
20160112,12,20.45
20160112,13,22.020000000000003
20160112,14,20.11
20160112,15,20.77
20160112,16,22.785
20160112,17,27.61
20160112,18,45.74
20160112,19,51.785000000000004
20160112,20,42.525000000000006
20160112,21,36.545
20160112,22,32.56
20160112,23,31.25
20160113,0,27.974999999999998
20160113,1,28.43
20160113,2,24.425
20160113,3,22.009999999999998
20160113,4,20.450000000000003
20160113,5,18.84
20160113,6,15.76
20160113,7,12.365
