YYYYMMDD,HH,O3
20160101,1,20.24
20160101,2,32.12
20160101,3,29.87
20160101,4,27.62
20160101,5,25.62
20160101,6,30.61
20160101,7,29.89
20160101,8,20.97
20160101,9,4.88
20160101,10,3.8
20160101,11,6.18
20160101,12,10.42
20160101,13,11.42
20160101,14,9.68
20160101,15,9.93
20160101,16,17.11
20160101,17,18.3
20160101,18,14.84
20160101,19,19.47
20160101,20,16.38
20160101,21,11.89
20160101,22,11.67
20160101,23,13.0
20160102,0,22.38
20160102,1,22.83
20160102,2,26.58
20160102,3,29.59
20160102,4,32.95
20160102,5,31.04
20160102,6,30.55
20160102,7,28.17
20160102,8,25.97
20160102,9,24.5
20160102,10,22.73
20160102,11,21.57
20160102,12,18.3
20160102,13,16.7
20160102,14,15.14
20160102,15,13.04
20160102,16,9.97
20160102,17,7.48
20160102,18,5.98
20160102,19,5.27
20160102,20,4.67
20160102,21,4.53
20160102,22,3.16
20160102,23,4.71
20160103,0,8.21
20160103,1,10.56
20160103,2,14.94
20160103,3,19.55
20160103,4,29.7
20160103,5,35.27
20160103,6,42.7
20160103,7,48.54
20160103,8,51.03
20160103,9,52.31
20160103,10,49.98
20160103,11,47.69
20160103,12,44.95
20160103,13,43.91
20160103,14,45.84
20160103,15,48.5
20160103,16,46.65
20160103,17,44.91
20160103,18,46.73
20160103,19,52.28
20160103,20,52.79
20160103,21,51.85
20160103,22,49.69
20160103,23,49.12
20160104,0,53.16
20160104,1,53.09
20160104,2,50.34
20160104,3,51.4
20160104,4,53.23
20160104,5,53.18
20160104,6,51.29
20160104,7,40.01
20160104,8,27.53
20160104,9,15.09
20160104,10,9.92
20160104,11,8.59
20160104,12,8.78
20160104,13,6.54
20160104,14,4.55
20160104,15,5.12
20160104,16,1.86
20160104,17,0.28
20160104,18,0.14
20160104,19,0.25
20160104,20,3.42
20160104,21,12.61
20160104,22,16.87
20160104,23,14.91
20160105,0,20.38
20160105,1,26.13
20160105,2,31.06
20160105,3,32.02
20160105,4,32.99
20160105,5,32.39
20160105,6,31.62
20160105,7,28.36
20160105,8,32.6
20160105,9,37.61
20160105,10,38.09
20160105,11,30.8
20160105,12,28.32
20160105,13,32.77
20160105,14,33.18
20160105,15,25.26
20160105,16,19.18
20160105,17,10.88
20160105,18,10.4
20160105,19,12.5
20160105,20,15.86
20160105,21,20.34
20160105,22,21.76
20160105,23,21.9
20160106,0,18.6
20160106,1,0.37
20160106,2,0.24
20160106,3,0.23
20160106,4,0.28
20160106,5,0.2
20160106,6,0.22
20160106,7,0.19
20160106,8,0.27
20160106,9,0.4
20160106,10,1.04
20160106,11,2.63
20160106,12,3.48
20160106,13,2.78
20160106,14,2.82
20160106,15,3.19
20160106,16,1.29
20160106,17,0.49
20160106,18,0.33
20160106,19,0.35
20160106,20,0.51
20160106,21,0.44
20160106,22,0.41
20160106,23,0.38
20160107,0,0.34
20160107,1,0.09
20160107,2,0.22
20160107,3,0.11
20160107,4,0.15
20160107,5,0.27
20160107,6,0.91
20160107,7,3.96
20160107,8,9.84
20160107,9,10.23
20160107,10,12.97
20160107,11,15.96
20160107,12,16.45
20160107,13,15.28
20160107,14,13.72
20160107,15,17.56
20160107,16,24.45
20160107,17,27.22
20160107,18,16.45
20160107,19,29.34
20160107,20,56.06
20160107,21,58.44
20160107,22,62.13
20160107,23,60.79
20160108,0,60.56
20160108,1,62.62
20160108,2,64.09
20160108,3,63.92
20160108,4,63.8
20160108,5,61.04
20160108,6,59.32
20160108,7,51.97
20160108,8,36.25
20160108,9,23.38
20160108,10,17.3
20160108,11,25.54
20160108,12,28.36
20160108,13,28.36
20160108,14,31.69
20160108,15,31.7
20160108,16,25.81
20160108,17,22.55
20160108,18,3.87
20160108,19,1.07
20160108,20,3.25
20160108,21,5.8
20160108,22,14.03
20160108,23,10.93
20160109,0,8.98
20160109,1,9.76
20160109,2,5.83
20160109,3,7.08
20160109,4,8.34
20160109,5,9.04
20160109,6,16.28
20160109,7,29.25
20160109,8,39.25
20160109,9,38.88
20160109,10,34.96
20160109,11,38.21
20160109,12,40.5
20160109,13,37.21
20160109,14,33.85
20160109,15,28.39
20160109,16,30.75
20160109,17,31.0
20160109,18,31.66
20160109,19,35.77
20160109,20,36.56
20160109,21,40.73
20160109,22,42.19
20160109,23,37.27
20160110,0,32.97
20160110,1,38.53
20160110,2,40.89
20160110,3,43.59
20160110,4,48.33
20160110,5,61.42
20160110,6,67.42
20160110,7,61.95
20160110,8,59.28
20160110,9,57.5
20160110,10,54.11
20160110,11,57.15
20160110,12,58.54
20160110,13,56.48
20160110,14,58.34
20160110,15,56.18
20160110,16,51.16
20160110,17,59.81
20160110,18,63.95
20160110,19,50.79
20160110,20,42.96
20160110,21,43.07
20160110,22,34.37
20160110,23,38.54
20160111,0,60.74
20160111,1,52.85
20160111,2,31.21
20160111,3,34.08
20160111,4,39.47
20160111,5,35.04
20160111,6,35.81
20160111,7,28.35
20160111,8,19.26
20160111,9,12.71
20160111,10,13.2
20160111,11,17.69
20160111,12,19.43
20160111,13,19.02
20160111,14,27.71
20160111,15,28.24
20160111,16,19.48
20160111,17,11.2
20160111,18,5.55
20160111,19,4.92
20160111,20,17.46
20160111,21,40.64
20160111,22,41.8
20160111,23,38.2
20160112,0,36.42
20160112,1,34.26
20160112,2,36.38
20160112,3,38.93
20160112,4,41.09
20160112,5,41.61
20160112,6,38.79
20160112,7,44.76
20160112,8,34.55
20160112,9,16.29
20160112,10,18.57
20160112,11,18.15
20160112,12,32.4
20160112,13,35.07
20160112,14,35.97
20160112,15,37.1
20160112,16,36.23
20160112,17,35.31
20160112,18,37.37
20160112,19,34.18
20160112,20,27.77
20160112,21,38.13
20160112,22,46.63
20160112,23,39.7
20160113,0,34.05
20160113,1,43.43
20160113,2,41.84
20160113,3,40.16
20160113,4,38.48
20160113,5,35.73
20160113,6,43.48
20160113,7,45.97
20160113,8,25.09
20160113,9,31.13
20160113,10,9.11
20160113,11,15.02
20160113,12,18.93
20160113,13,22.84
20160113,14,26.75
20160113,15,30.67
20160113,16,37.18
20160113,17,34.97
20160113,18,22.13
20160113,19,2.69
20160113,20,17.8
20160113,21,34.39
20160113,22,29.44
20160113,23,15.92
20160114,0,15.8
20160114,1,5.41
20160114,2,15.29
20160114,3,20.46
20160114,4,22.88
20160114,5,25.64
20160114,6,26.58
20160114,7,23.62
20160114,8,20.88
20160114,9,25.69
20160114,10,29.94
20160114,11,24.67
20160114,12,23.49
20160114,13,32.29
20160114,14,35.17
20160114,15,34.07
20160114,16,32.87
20160114,17,41.3
20160114,18,35.31
20160114,19,21.71
20160114,20,18.44
20160114,21,41.07
20160114,22,51.67
20160114,23,49.92
20160115,0,46.14
20160115,1,41.6
20160115,2,37.68
20160115,3,46.42
20160115,4,48.92
20160115,5,50.12
20160115,6,50.28
20160115,7,39.73
20160115,8,19.27
20160115,9,6.36
20160115,10,3.02
20160115,11,16.28
20160115,12,30.47
20160115,13,27.38
20160115,14,18.54
20160115,15,17.01
20160115,16,22.63
20160115,17,22.78
20160115,18,18.14
20160115,19,16.73
20160115,20,11.54
20160115,21,7.54
20160115,22,17.06
20160115,23,9.91
20160116,0,-0.4
20160116,1,-0.35
20160116,2,-0.28
20160116,3,5.5
20160116,4,26.19
20160116,5,38.39
20160116,6,44.09
20160116,7,47.24
20160116,8,56.26
20160116,9,65.02
20160116,10,66.27
20160116,11,67.82
20160116,12,67.66
20160116,13,62.95
20160116,14,66.15
20160116,15,63.75
20160116,16,63.52
20160116,17,63.89
20160116,18,49.82
20160116,19,41.98
20160116,20,56.41
20160116,21,59.74
20160116,22,55.74
20160116,23,56.49
20160117,0,60.89
20160117,1,54.69
20160117,2,61.77
20160117,3,64.42
20160117,4,67.08
20160117,5,66.66
20160117,6,62.81
20160117,7,64.26
20160117,8,53.56
20160117,9,45.71
20160117,10,34.31
20160117,11,41.96
20160117,12,46.41
20160117,13,56.75
20160117,14,59.43
20160117,15,60.76
20160117,16,60.97
20160117,17,53.04
20160117,18,28.01
20160117,19,10.85
20160117,20,7.81
20160117,21,6.59
20160117,22,6.38
20160117,23,7.41
20160118,0,5.08
20160118,1,5.36
20160118,2,5.76
20160118,3,8.91
20160118,4,9.26
20160118,5,5.7
20160118,6,2.39
20160118,7,0.85
20160118,8,0.91
20160118,9,1.08
20160118,10,4.03
20160118,11,11.4
20160118,12,22.3
20160118,13,27.06
20160118,14,28.28
20160118,15,29.38
20160118,16,21.21
20160118,17,8.43
