Component,Einddatumtijd,NL10643
O3,2023-01-01T01:00:00+01:00,46.03
O3,2023-01-01T02:00:00+01:00,54.45
O3,2023-01-01T03:00:00+01:00,58.59
O3,2023-01-01T04:00:00+01:00,59.8
O3,2023-01-01T05:00:00+01:00,63.02
O3,2023-01-01T06:00:00+01:00,64.1
O3,2023-01-01T07:00:00+01:00,64.85
O3,2023-01-01T08:00:00+01:00,71.86
O3,2023-01-01T09:00:00+01:00,74.17
O3,2023-01-01T10:00:00+01:00,73.38
O3,2023-01-01T11:00:00+01:00,69.54
O3,2023-01-01T12:00:00+01:00,68.64
O3,2023-01-01T13:00:00+01:00,66.02
O3,2023-01-01T14:00:00+01:00,59.86
O3,2023-01-01T15:00:00+01:00,60.85
O3,2023-01-01T16:00:00+01:00,56.05
O3,2023-01-01T17:00:00+01:00,51.1
O3,2023-01-01T18:00:00+01:00,47.58
O3,2023-01-01T19:00:00+01:00,49.21
O3,2023-01-01T20:00:00+01:00,47.16
O3,2023-01-01T21:00:00+01:00,48.37
O3,2023-01-01T22:00:00+01:00,52.8
O3,2023-01-01T23:00:00+01:00,54.43
O3,2023-01-02T00:00:00+01:00,50.45
O3,2023-01-02T01:00:00+01:00,43.78
O3,2023-01-02T02:00:00+01:00,40.62
O3,2023-01-02T03:00:00+01:00,38.79
O3,2023-01-02T04:00:00+01:00,38.95
O3,2023-01-02T05:00:00+01:00,44.82
O3,2023-01-02T06:00:00+01:00,48.25
O3,2023-01-02T07:00:00+01:00,48.22
O3,2023-01-02T08:00:00+01:00,61.25
O3,2023-01-02T09:00:00+01:00,65.71
O3,2023-01-02T10:00:00+01:00,64.13
O3,2023-01-02T11:00:00+01:00,54.95
O3,2023-01-02T12:00:00+01:00,57.37
O3,2023-01-02T13:00:00+01:00,61.19
O3,2023-01-02T14:00:00+01:00,56.31
O3,2023-01-02T15:00:00+01:00,50.17
O3,2023-01-02T16:00:00+01:00,45.57
O3,2023-01-02T17:00:00+01:00,59.4
O3,2023-01-02T18:00:00+01:00,54.66
O3,2023-01-02T19:00:00+01:00,54.88
O3,2023-01-02T20:00:00+01:00,49.4
O3,2023-01-02T21:00:00+01:00,36.66
O3,2023-01-02T22:00:00+01:00,23.79
O3,2023-01-02T23:00:00+01:00,24.31
O3,2023-01-03T00:00:00+01:00,30.27
O3,2023-01-03T01:00:00+01:00,29.58
O3,2023-01-03T02:00:00+01:00,29.87
O3,2023-01-03T03:00:00+01:00,36.1
O3,2023-01-03T04:00:00+01:00,22.26
O3,2023-01-03T05:00:00+01:00,13.43
O3,2023-01-03T06:00:00+01:00,16.98
O3,2023-01-03T07:00:00+01:00,10.22
O3,2023-01-03T08:00:00+01:00,8.59
O3,2023-01-03T09:00:00+01:00,12.6
O3,2023-01-03T10:00:00+01:00,15.18
O3,2023-01-03T11:00:00+01:00,22.98
O3,2023-01-03T12:00:00+01:00,29.29
O3,2023-01-03T13:00:00+01:00,34.24
O3,2023-01-03T14:00:00+01:00,40.24
O3,2023-01-03T15:00:00+01:00,51.2
O3,2023-01-03T16:00:00+01:00,51.77
O3,2023-01-03T17:00:00+01:00,50.69
O3,2023-01-03T18:00:00+01:00,50.33
O3,2023-01-03T19:00:00+01:00,51.14
O3,2023-01-03T20:00:00+01:00,51.44
O3,2023-01-03T21:00:00+01:00,54.84
O3,2023-01-03T22:00:00+01:00,56.65
O3,2023-01-03T23:00:00+01:00,59.05
O3,2023-01-04T00:00:00+01:00,61.99
O3,2023-01-04T01:00:00+01:00,62.72
O3,2023-01-04T02:00:00+01:00,62.14
O3,2023-01-04T03:00:00+01:00,
O3,2023-01-04T04:00:00+01:00,59.97
O3,2023-01-04T05:00:00+01:00,62.13
O3,2023-01-04T06:00:00+01:00,64.43
O3,2023-01-04T07:00:00+01:00,61.29
O3,2023-01-04T08:00:00+01:00,60.69
O3,2023-01-04T09:00:00+01:00,62.89
O3,2023-01-04T10:00:00+01:00,60.25
