MWS,WG,T,TD,SD,GR
48.0,98.0,147.0,119.0,0.0,0.0
50.0,102.0,151.0,126.0,0.0,0.0
47.0,91.0,150.0,125.0,0.0,0.0
42.0,87.0,141.0,122.0,0.0,0.0
38.0,80.0,139.0,124.0,0.0,0.0
28.0,62.0,133.0,124.0,0.0,0.0
30.0,65.0,133.0,123.0,0.0,0.0
34.0,75.0,146.0,131.0,0.0,0.72
18.0,47.0,144.0,133.0,0.0,2.88
37.0,84.0,144.0,135.0,0.0,3.96
27.0,55.0,142.0,131.0,0.0,2.52
34.0,60.0,150.0,123.0,0.0,3.24
28.0,46.0,133.0,107.0,0.0,3.96
14.0,29.0,133.0,105.0,0.0,7.2
27.0,39.0,134.0,115.0,0.0,2.88
16.0,30.0,137.0,117.0,0.0,2.16
12.0,19.0,136.0,118.0,0.0,1.08
18.0,27.0,136.0,121.0,0.0,0.0
2.0,9.0,131.0,125.0,0.0,0.0
5.0,16.0,129.0,120.0,0.0,0.0
12.0,18.0,133.0,127.0,0.0,0.0
23.0,45.0,127.0,124.0,0.0,0.0
19.0,39.0,120.0,115.0,0.0,0.0
27.0,56.0,113.0,109.0,0.0,0.0
23.0,56.0,108.0,104.0,0.0,0.0
17.0,46.0,108.0,103.0,0.0,0.0
11.0,24.0,111.0,105.0,0.0,0.0
14.0,21.0,101.0,83.0,0.0,0.0
24.0,34.0,94.0,88.0,0.0,0.0
27.0,40.0,92.0,87.0,0.0,0.0
34.0,60.0,96.0,87.0,0.0,0.0
28.0,59.0,103.0,99.0,0.0,3.6
31.0,64.0,113.0,102.0,0.0,20.88
30.0,68.0,125.0,107.0,10.0,86.04
27.0,65.0,140.0,113.0,10.0,122.4
31.0,73.0,151.0,115.0,10.0,129.24
38.0,83.0,154.0,110.0,10.0,120.96
41.0,86.0,157.0,111.0,10.0,122.4
38.0,80.0,157.0,98.0,10.0,105.12
35.0,71.0,154.0,101.0,6.17,46.44
30.0,63.0,145.0,103.0,9.09,33.12
20.0,43.0,125.0,102.0,0.0,2.16
21.0,38.0,116.0,103.0,0.0,0.0
15.0,26.0,105.0,91.0,0.0,0.0
19.0,39.0,115.0,105.0,0.0,0.0
30.0,55.0,119.0,103.0,0.0,0.0
23.0,46.0,112.0,106.0,0.0,0.0
22.0,42.0,119.0,114.0,0.0,0.0
19.0,37.0,115.0,107.0,0.0,0.0
15.0,23.0,98.0,96.0,0.0,0.0
11.0,18.0,104.0,99.0,0.0,0.0
