Export;EXP-2024-001 (2024-08-26T14:42:17+01:00);;;StationsCode;NL10107;NL10131;NL10133;NL10138;NL10230;NL10235;NL10236;NL10241;NL10247;NL10301;NL10318;NL10404;NL10418;NL10437;NL10442;NL10444;NL10446;NL10449;NL10450;NL10538;NL10550;NL10617;NL10633;NL10639;NL10641;NL10643;NL10644;NL10722;NL10738;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10938
Periode;2024-06-01T00:00:00+01:00 - 2024-07-01T00:00:00+01:00;;;BeheerderMeetStation;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM
Bron;https://data.rivm.nl/data/luchtmeetnet;;;StationsNaam;Posterholt-Vlodropperweg;Vredepeel-Vredeweg;Wijnandsrade-Opfergeltstraat;Heerlen-Jamboreepad;Biest Houtakker-Biestsestraat;Huijbergen-Vennekenstraat;Eindhoven-Genovevalaan;Breda-Bastenakenstraat;Veldhoven-Europalaan;Zierikzee-Lange Slikweg;Philippine-Stelleweg;Den Haag-Rebecquestraat;Rotterdam-Schiedamsevest;Westmaas-Groeneweg;Dordrecht-Bamendaweg;De Zilk-Vogelaarsdreef;Den Haag-Bleriotlaan;Vlaardingen-Riouwlaan;Den Haag-Neherkade;Wieringerwerf-Medemblikkerweg;Haarlem-Schipholweg;Biddinghuizen-Kuilweg;Zegveld-Oude Meije;Utrecht-Constant Erzeijstraat;Breukelen-Snelweg;Utrecht-Griftpark;Cabauw-Wielsekade;Eibergen-Lintveldseweg;Wekerom-Riemterdijk;Nijmegen-Ruyterstraat;Hellendoorn-Luttenbergerweg;Barsbeek-De Veenen;Balk-Trophornsterweg;Valthermond-Noorderdiep;Kollumerwaard-Hooge Zuidwal;Groningen-Nijensteinheerd
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;Latitude,Longitude;(51.119194,6.042399);(51.54052,5.85307);(50.902281,5.881748);(50.900317,5.986853);(51.51844,5.14845);(51.434443,4.359835);(51.468662,5.47235);(51.60308,4.781016);(51.407365,5.393328);(51.634706,3.916623);(51.294498,3.749484);(52.077148,4.289185);(51.914233,4.479923);(51.786579,4.450529);(51.800658,4.708239);(52.296556,4.510817);(52.039023,4.359376);(51.914883,4.32943);(52.062537,4.318551);(52.803657,5.050509);(52.370508,4.642319);(52.423214,5.593378);(52.13795,4.83819);(52.067748,5.120507);(52.20153,4.987444);(52.101308,5.128183);(51.974489,4.923301);(52.091801,6.605367);(52.111621,5.708419);(51.838221,5.856938);(52.388272,6.402933);(52.654144,6.017571);(52.916915,5.573491);(52.875725,6.932432);(53.330425,6.276815);(53.246535,6.608937)
Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;regionaal;regionaal;voorstad;stad;regionaal;regionaal;stad;stad;voorstad;regionaal;regionaal;stad;stad;regionaal;stad;regionaal;stad;stad;stad;regionaal;stad;regionaal;regionaal;stad;regionaal;stad;regionaal;regionaal;regionaal;stad;regionaal;regionaal;regionaal;regionaal;regionaal;voorstad
;;;;StationsType;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;verkeer;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;verkeer;verkeer;achtergrond;verkeer;achtergrond;achtergrond;verkeer;verkeer;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond
;;;;Meetprincipe;Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P);Ultraviolet absorptie (UV-P)
;;;;Meetopstelling;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser;Thermo model 49i O3 analyser
;;;;Accreditatienummer;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL10107;NL10131;NL10133;NL10138;NL10230;NL10235;NL10236;NL10241;NL10247;NL10301;NL10318;NL10404;NL10418;NL10437;NL10442;NL10444;NL10446;NL10449;NL10450;NL10538;NL10550;NL10617;NL10633;NL10639;NL10641;NL10643;NL10644;NL10722;NL10738;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10938
O3;uur;µg/m³;2024-06-01T00:00:00+01:00;2024-06-01T01:00:00+01:00;74.37;65.82;71.9;68.14;72.48;66.24;67.57;76.23;67.77;74.97;76.73;79.59;75.86;67.84;74.53;78.92;78.33;72.9;79.13;78.73;68.39;66.56;70.31;68.09;66.51;73.04;71.14;59.32;71.34;68.49;60.2;57.63;77.31;56.17;78.99;72.49
O3;uur;µg/m³;2024-06-01T01:00:00+01:00;2024-06-01T02:00:00+01:00;69.99;64.03;63.91;64.32;74.57;66.06;69.54;72.28;69.86;75.54;76.91;78.61;73.57;69.57;71.2;80.04;75.99;71.51;78.13;76.56;73.44;61.56;65.91;61.08;62.83;64.52;65.12;60.73;63.19;65.33;57.12;64.37;77.59;58.38;73.72;73.12
O3;uur;µg/m³;2024-06-01T02:00:00+01:00;2024-06-01T03:00:00+01:00;63.4;64.8;62.56;63.22;68.65;66.01;68.81;70.21;70.03;76.44;76.51;79.99;73.21;66.12;67.93;76.81;75.69;71.07;78.76;75.24;70.17;80.5;64.75;56;64.58;61.29;61.47;55.47;54.59;60.32;58.48;70.81;73.17;60.21;72.38;73.31
O3;uur;µg/m³;2024-06-01T03:00:00+01:00;2024-06-01T04:00:00+01:00;57.22;61.39;62.07;58.11;62.48;63.55;64.92;65.3;62.68;76.58;78.04;78.91;72.5;68.43;66.89;76.36;75.59;73.63;79.25;74.93;69.76;80.64;65.3;72.03;66.8;78.61;60.73;48.51;48.81;54.97;55.49;66.05;68.78;56.91;73.59;73.27
O3;uur;µg/m³;2024-06-01T04:00:00+01:00;2024-06-01T05:00:00+01:00;61.36;57.02;59.64;58.02;53.92;64.42;57.55;65.66;55.16;77.92;77.28;75.54;72.23;67.36;63.99;77.26;74.27;72.09;76.08;72.14;69.09;74.75;65.43;72.77;62.33;76.36;62.29;37.01;67.75;49.58;60.9;62.83;68.55;58.64;67.98;71.76
O3;uur;µg/m³;2024-06-01T05:00:00+01:00;2024-06-01T06:00:00+01:00;59.48;52.12;58.79;57.27;56.1;62.64;51.54;65.54;48.29;76.93;76.55;74.87;71.25;65.61;63.38;75.78;72.2;67.68;75.45;73.14;69.26;69.68;64.75;66.16;59.5;69.96;64.55;43.03;66.71;46.14;56.22;60.54;67.15;60.28;69.88;67.38
O3;uur;µg/m³;2024-06-01T06:00:00+01:00;2024-06-01T07:00:00+01:00;54.24;49.41;54.09;54.03;60.78;60.77;44.57;65.07;38.23;78.95;77.57;78.2;68.18;63.26;62.74;78.22;74.9;67.78;78.18;72.16;64.14;70.8;62.45;60.54;55.45;65.52;59.53;51.81;61.46;50.55;54.29;59.65;65.16;61.56;68.97;67.84
O3;uur;µg/m³;2024-06-01T07:00:00+01:00;2024-06-01T08:00:00+01:00;48.47;62.8;52.79;50.51;61.92;58.05;52.9;63.95;43.2;78.22;79.68;78.33;70.79;65.57;62.25;76.36;74.8;70.08;78.42;71.29;65.58;69.91;61.72;58.22;53.99;62.38;56.72;52.3;60.02;51.54;55.24;58.71;66.45;61.23;68.08;67.17
